participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,ground_truth_with_AI,after_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI,with_AI_seen_before,week
578901354a84da00014c41cf,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,87,REAL,55,real,No,real,Fake,72,No,week 0
578901354a84da00014c41cf,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,82,FAKE,74,real,No,real,Real,96,No,week 0
5884593bd920ed0001fdccb4,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,65,FAKE,51,fake,No,fake,Fake,16,No,week 0
5884593bd920ed0001fdccb4,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,40,FAKE,60,fake,No,fake,Fake,39,No,week 0
5884593bd920ed0001fdccb4,Critical Thinking,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,89,REAL,76,real,No,real,Real,39,No,week 0
5884593bd920ed0001fdccb4,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,55,REAL,60,real,No,real,Real,23,No,week 0
5980128635fbf100017d0861,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,54,FAKE,55,real,No,real,Fake,50,No,week 0
5980128635fbf100017d0861,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,53,REAL,55,real,No,real,Real,47,No,week 0
5980128635fbf100017d0861,Critical Thinking,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,49,FAKE,57,fake,No,fake,Fake,91,No,week 0
5980128635fbf100017d0861,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,77,FAKE,84,fake,No,fake,Fake,52,No,week 0
5997043dbbe84800017964a7,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,60,FAKE,100,fake,No,fake,Fake,100,No,week 0
5997043dbbe84800017964a7,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,fake,No,fake,Fake,100,No,week 0
5997043dbbe84800017964a7,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,100,FAKE,100,real,No,real,Fake,70,No,week 0
5997043dbbe84800017964a7,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,49,REAL,100,real,No,real,Real,60,No,week 0
59baf1a2178f1b0001828a26,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,62,FAKE,81,real,No,real,Fake,38,No,week 0
59baf1a2178f1b0001828a26,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,39,FAKE,83,real,No,real,Real,52,No,week 0
59baf1a2178f1b0001828a26,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,82,FAKE,93,fake,No,fake,Fake,89,No,week 0
59baf1a2178f1b0001828a26,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,40,FAKE,77,fake,No,fake,Fake,94,No,week 0
5a8f13595292b80001235e09,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,65,REAL,72,fake,No,fake,Fake,50,No,week 0
5a8f13595292b80001235e09,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,70,REAL,77,real,No,real,Real,52,No,week 0
5a8f13595292b80001235e09,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,66,REAL,67,real,No,real,Real,76,No,week 0
5a8f13595292b80001235e09,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,33,FAKE,64,fake,No,fake,Fake,91,No,week 0
5af3c4e197a14300017d3f49,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,85,FAKE,100,fake,No,fake,Fake,80,No,week 0
5af3c4e197a14300017d3f49,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,80,REAL,100,real,No,fake,Fake,79,No,week 0
5af3c4e197a14300017d3f49,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,86,REAL,100,real,No,real,Real,75,No,week 0
5af3c4e197a14300017d3f49,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,90,REAL,100,real,No,real,Real,80,Yes,week 0
5b421b9ac2e3810001763252,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,78,FAKE,94,fake,No,fake,Real,71,No,week 0
5b421b9ac2e3810001763252,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,77,FAKE,86,fake,No,fake,Fake,89,No,week 0
5b421b9ac2e3810001763252,Critical Thinking,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,68,REAL,82,real,No,real,Fake,72,No,week 0
5b421b9ac2e3810001763252,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,68,FAKE,82,real,No,real,Real,72,No,week 0
5b646a727c39ee00010a18b0,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,29,REAL,77,real,No,real,Fake,33,No,week 0
5b646a727c39ee00010a18b0,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,65,FAKE,97,fake,No,real,Fake,57,No,week 0
5b646a727c39ee00010a18b0,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,77,FAKE,96,fake,No,fake,Fake,73,No,week 0
5b646a727c39ee00010a18b0,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,93,FAKE,99,fake,No,fake,Fake,100,No,week 0
5bbb5e3f118c0600013c3202,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,71,REAL,90,real,No,real,Real,62,No,week 0
5bbb5e3f118c0600013c3202,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,78,REAL,73,real,No,real,Real,81,Yes,week 0
5bbb5e3f118c0600013c3202,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,40,FAKE,100,fake,No,fake,Fake,86,No,week 0
5bbb5e3f118c0600013c3202,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,51,FAKE,90,fake,No,fake,Fake,92,No,week 0
5bc9206a66d04800015cf314,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,51,REAL,62,real,No,real,Real,59,No,week 0
5bc9206a66d04800015cf314,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,64,FAKE,83,real,No,real,Real,71,No,week 0
5bc9206a66d04800015cf314,Critical Thinking,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,89,FAKE,94,fake,No,fake,Fake,53,No,week 0
5bc9206a66d04800015cf314,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,51,FAKE,61,fake,No,fake,Fake,50,No,week 0
5be8dab5d153f500019ab320,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,76,REAL,75,real,No,real,Real,93,No,week 0
5be8dab5d153f500019ab320,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,100,REAL,99,real,No,real,Real,93,Yes,week 0
5be8dab5d153f500019ab320,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,60,FAKE,100,fake,No,fake,Fake,95,No,week 0
5be8dab5d153f500019ab320,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,fake,No,fake,Fake,100,No,week 0
5bead56b5324b10001c2551c,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,60,FAKE,100,fake,No,fake,Fake,82,Yes,week 0
5bead56b5324b10001c2551c,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,50,REAL,76,real,No,real,Fake,71,No,week 0
5bead56b5324b10001c2551c,Critical Thinking,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,REAL,60,REAL,90,real,No,real,Fake,100,No,week 0
5bead56b5324b10001c2551c,Critical Thinking,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,60,FAKE,100,fake,No,fake,Real,70,No,week 0
5c4f5967aac8be0001716a65,Persuasive,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,73,FAKE,100,fake,No,fake,Fake,42,No,week 0
5c4f5967aac8be0001716a65,Persuasive,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,44,REAL,86,real,No,real,Real,62,Yes,week 0
5c4f5967aac8be0001716a65,Persuasive,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,79,REAL,100,real,No,real,Real,53,No,week 0
5c4f5967aac8be0001716a65,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,87,FAKE,100,fake,No,fake,Fake,60,No,week 0
5c5198da659655000168955d,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,57,FAKE,71,fake,No,fake,Fake,90,No,week 0
5c5198da659655000168955d,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,75,REAL,87,real,No,real,Real,88,No,week 0
5c5198da659655000168955d,Critical Thinking,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",REAL,91,REAL,100,real,No,real,Fake,69,Yes,week 0
5c5198da659655000168955d,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",REAL,85,FAKE,100,fake,No,fake,Fake,70,Yes,week 0
5c9bfbfa325c3d001ad360a8,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,67,REAL,76,real,No,real,Fake,9,No,week 0
5c9bfbfa325c3d001ad360a8,Critical Thinking,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,58,FAKE,90,fake,No,fake,Fake,50,No,week 0
5c9bfbfa325c3d001ad360a8,Critical Thinking,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",FAKE,52,REAL,56,real,No,real,Real,29,No,week 0
5c9bfbfa325c3d001ad360a8,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,51,FAKE,96,fake,No,fake,Real,31,No,week 0
5ca73ac06fa13f00189cbe17,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,49,FAKE,87,fake,No,fake,Fake,72,No,week 0
5ca73ac06fa13f00189cbe17,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,89,FAKE,100,fake,No,fake,Fake,82,No,week 0
5ca73ac06fa13f00189cbe17,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,90,FAKE,90,real,No,real,Real,72,Yes,week 0
5ca73ac06fa13f00189cbe17,Critical Thinking,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,REAL,89,REAL,59,real,No,real,Real,86,Yes,week 0
5caccbc4976d010014b9cd9d,Persuasive,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,10,FAKE,99,fake,No,real,Real,90,No,week 0
5caccbc4976d010014b9cd9d,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",REAL,50,FAKE,100,fake,No,fake,Fake,90,No,week 0
5caccbc4976d010014b9cd9d,Persuasive,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,15,FAKE,75,fake,No,fake,Real,30,No,week 0
5caccbc4976d010014b9cd9d,Persuasive,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,80,REAL,100,real,No,real,Fake,80,Yes,week 0
5ccc60abe787e000167f8143,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,72,FAKE,50,fake,Yes,fake,Real,60,No,week 0
5ccc60abe787e000167f8143,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,76,FAKE,100,fake,No,fake,Fake,77,No,week 0
5ccc60abe787e000167f8143,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,82,REAL,64,real,No,real,Real,46,Yes,week 0
5ccc60abe787e000167f8143,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,80,FAKE,30,real,No,real,Real,50,No,week 0
5cd08e2ff59e0a0013563602,Critical Thinking,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,88,FAKE,100,fake,No,fake,Fake,100,No,week 0
5cd08e2ff59e0a0013563602,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,50,REAL,60,real,No,real,Fake,100,No,week 0
5cd08e2ff59e0a0013563602,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,75,REAL,100,real,No,real,Fake,100,Yes,week 0
5cd08e2ff59e0a0013563602,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,70,FAKE,100,fake,No,fake,Fake,100,No,week 0
5d01b9d4c9281200151c7c6b,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,85,REAL,78,real,No,real,Real,93,Yes,week 0
5d01b9d4c9281200151c7c6b,Critical Thinking,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,50,FAKE,88,fake,No,fake,Fake,67,No,week 0
5d01b9d4c9281200151c7c6b,Critical Thinking,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,fake,No,fake,Fake,95,No,week 0
5d01b9d4c9281200151c7c6b,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,81,REAL,100,real,No,real,Real,75,No,week 0
5d07fc124e753800168ccafe,Persuasive,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,42,REAL,62,real,No,real,Fake,86,No,week 0
5d07fc124e753800168ccafe,Persuasive,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,fake,No,fake,Fake,95,No,week 0
5d07fc124e753800168ccafe,Persuasive,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,83,FAKE,94,fake,No,fake,Fake,97,No,week 0
5d07fc124e753800168ccafe,Persuasive,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,REAL,72,REAL,95,real,No,real,Fake,99,No,week 0
5d0d16d991270800010b7dd7,Critical Thinking,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,88,FAKE,91,real,No,real,Real,68,No,week 0
5d0d16d991270800010b7dd7,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,59,REAL,95,real,No,real,Fake,87,No,week 0
5d0d16d991270800010b7dd7,Critical Thinking,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,88,REAL,86,real,No,fake,Fake,94,Yes,week 0
5d0d16d991270800010b7dd7,Critical Thinking,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,80,FAKE,98,fake,No,fake,Fake,96,No,week 0
5d20189bb34728001a230962,Persuasive,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,14,REAL,19,fake,No,fake,Fake,50,No,week 0
5d20189bb34728001a230962,Persuasive,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,54,REAL,53,real,No,real,Real,42,No,week 0
5d20189bb34728001a230962,Persuasive,4,Scott Brown incites violence during his campaign in Boston on Monday.,REAL,85,REAL,51,fake,No,fake,Fake,85,No,week 0
5d20189bb34728001a230962,Persuasive,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",FAKE,64,FAKE,56,real,No,real,Real,35,Yes,week 0
5d453e8723a5bb0001492546,Persuasive,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,51,FAKE,51,real,No,real,Fake,65,No,week 0
5d453e8723a5bb0001492546,Persuasive,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,60,FAKE,65,real,No,real,Fake,60,No,week 0
5d453e8723a5bb0001492546,Persuasive,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,75,FAKE,85,fake,No,fake,Fake,99,No,week 0
5d453e8723a5bb0001492546,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,80,FAKE,95,fake,No,fake,Fake,97,No,week 0
5d849ee0a954540019f513dd,Critical Thinking,4,Scott Brown incites violence during his campaign in Boston on Monday.,REAL,59,FAKE,84,fake,No,fake,Real,52,No,week 0
5d849ee0a954540019f513dd,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,87,REAL,92,fake,No,fake,Fake,82,Yes,week 0
5d849ee0a954540019f513dd,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,78,FAKE,100,real,No,real,Real,52,No,week 0
5d849ee0a954540019f513dd,Critical Thinking,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,100,FAKE,100,real,No,real,Real,76,No,week 0
5d8b66f5d189bd001a378273,Critical Thinking,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,75,FAKE,72,fake,No,fake,Fake,100,No,week 0
5d8b66f5d189bd001a378273,Critical Thinking,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,47,REAL,100,real,No,real,Real,95,No,week 0
5d8b66f5d189bd001a378273,Critical Thinking,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,60,REAL,100,real,No,real,Real,88,No,week 0
5d8b66f5d189bd001a378273,Critical Thinking,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,1,FAKE,100,fake,No,fake,Real,82,No,week 0
5d8cef3c28e183001a335ab0,Persuasive,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,38,REAL,58,real,No,real,Real,60,No,week 0
5d8cef3c28e183001a335ab0,Persuasive,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,REAL,51,REAL,71,real,No,real,Real,80,No,week 0
5d8cef3c28e183001a335ab0,Persuasive,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,27,FAKE,66,fake,No,fake,Real,24,No,week 0
5d8cef3c28e183001a335ab0,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,8,FAKE,90,fake,No,fake,Fake,71,No,week 0
5deb341d35575a2547b1f85a,Persuasive,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,44,FAKE,70,fake,No,fake,Fake,26,No,week 0
5deb341d35575a2547b1f85a,Persuasive,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,58,REAL,74,real,No,real,Fake,32,No,week 0
5deb341d35575a2547b1f85a,Persuasive,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,45,REAL,68,real,No,real,Real,41,No,week 0
