.,ai_usage,ai_image_usage,I understand the basic concepts of Artifical Intelligence,I believe I can contribute to AI projects,I can judge the pros and cons of AI,I keep up with the latest AI trends,I am comfortable talking about AI with others,I can think of news ways to use existing AI tools
63e53bd01fa86540f94e829d,0-2 hours a day,Once a month,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
67884b1aa6c55d9dd2388778,0-2 hours a day,Once a week,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
6117efedb574017076d5b499,0-2 hours a day,Everyday,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
66231fc6e1ecba676935943a,0-2 hours a day,Rarely,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree
5e6e93825712a9456c70a80d,0-2 hours a day,Never,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree
67c15dbceef604f366c06d00,0-2 hours a day,Rarely,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree
67b9dca816c05c8ab44e4404,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
63d141f0a7b0e7ea9526e89d,Once a week,Rarely,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
66451cf935a985828f197f7e,2-4 hours a day,Rarely,Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree
578901354a84da00014c41cf,0-2 hours a day,Once a month,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree
667d81a95170bdd075f74203,Once a week,Never,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree
65178713fd459dd31fbfb62b,2-4 hours a day,Once a week,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree
66abf0c472f051b5e40cfbfd,0-2 hours a day,Everyday,Agree,Agree,Agree,Agree,Strongly Agree,Agree
63e5b3e89a3823139cb9d35e,Never,Never,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree
65599c698363f734b0325aa2,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
66c7afe345bcfdeba3506d7d,Once a week,Rarely,Agree,Somewhat Agree,Agree,Neutral,Agree,Disagree
6650ba88f2e4099801ab8357,0-2 hours a day,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
6526ba5706ea8e4e5cafde48,0-2 hours a day,Everyday,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral
5d0d16d991270800010b7dd7,0-2 hours a day,Rarely,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree
67ed8799d312ce968a00692b,4-6 hours a day,Everyday,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree
5dee265613911c4bb3c0ac7e,Once a week,Never,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree
5e06ecd524f9390991997bb7,0-2 hours a day,Rarely,Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Disagree
63ecff07b619306f41db42fa,0-2 hours a day,Rarely,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
6709224f70eacdb20761ae3c,Once a week,Once a week,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8
675cf75e3c237ff931f4a43e,Once a week,Once a month,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree
6409110921de1c850a685bf6,0-2 hours a day,Rarely,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree
669c182b2a59d2c81e9053ad,Once a week,Never,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Disagree
67ae22e234039c88a4aaac98,0-2 hours a day,Everyday,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree
67f3147d939ee392b2741fb5,Once a week,Once a week,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree
655fa181e4a69a513fd68aa0,Once a month,Rarely,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral
5c9bfbfa325c3d001ad360a8,0-2 hours a day,Never,Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree
65da0c93826bdadcf98372a9,0-2 hours a day,Never,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree
671c1c699ca32031a83014e8,Once a week,Rarely,Agree,Agree,Agree,Agree,Agree,Agree
57165ba7c5aca2000a8d32ca,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
6600a119385d8631c41cd795,4-6 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
56b43607c54e3c000d3c9b0b,Once a week,Rarely,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree
665bd302372cfba059fbdab7,Once a week,Rarely,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
66f75ca6c63db2214194b1cc,0-2 hours a day,Rarely,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree
6283f8c5dc230fe36cecf6aa,Once a week,Rarely,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree
673b138dd177a7bf936e4a26,0-2 hours a day,Everyday,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
64226a9ac7739618beeee60d,Once a week,Once a month,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree
675b6bf5887bccb7fad6c44d,2-4 hours a day,Everyday,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree
6651193f302387e52405119a,Once a month,Never,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree
6287f4819c5fc8c4d48cc885,0-2 hours a day,Never,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree
66881fbe723bc57d75a2c268,More than 6 hours a day,Everyday,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
601e13b872774f263d64acac,Once a month,Once a month,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
67e42264dcb48e795254b422,4-6 hours a day,Once a week,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
6709a18c842035499e0f1353,2-4 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral
5a8f13595292b80001235e09,0-2 hours a day,Once a week,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
654e663cb42f01a1a585fa81,Once a week,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree
67801e07039915c53c217039,0-2 hours a day,Once a week,Agree,Agree,Agree,Somewhat Agree,Agree,Agree
67d26f091d1d3ba56b594c7d,Once a month,Rarely,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
67f2fbc77b115d1edb94ef11,2-4 hours a day,Everyday,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree
6669f4d73f6ea3be1d2b7eae,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
676491fbb0941bdbdd359b5c,2-4 hours a day,Everyday,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
67d47bef1b8777e754726be0,2-4 hours a day,Everyday,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree
6791a8549ed23cc3997dd33a,0-2 hours a day,Rarely,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree
67217a2f6476292bf82e2e6d,0-2 hours a day,Everyday,Agree,Agree,Agree,Agree,Agree,Agree
5884593bd920ed0001fdccb4,2-4 hours a day,Once a week,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral
673ccb0691efe91cd015dcf7,Once a month,Once a week,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8,Click to write Choice 8
6151e69a392433707e7a9dfb,2-4 hours a day,Once a month,Agree,Agree,Agree,Agree,Agree,Agree
63474e67a5fd298c6103c409,0-2 hours a day,Once a month,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
67f1ffcda6132647f017b5e5,Once a week,Once a week,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree
6784ea5cf89f784e621ac9fa,0-2 hours a day,Rarely,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree
663ece769c3a32475d274c94,0-2 hours a day,Once a week,Agree,Neutral,Agree,Neutral,Neutral,Neutral
62e0715747189999644b9868,2-4 hours a day,Everyday,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree
65c18c789a79785086046517,Once a week,Rarely,Agree,Neutral,Agree,Neutral,Agree,Somewhat Agree
67e1da8a432675c0e850e8d1,2-4 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5e916cb9e502b1498e8fc059,Once a week,Once a week,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
65624dbc33b93e2696f06d1f,0-2 hours a day,Everyday,Agree,Agree,Agree,Agree,Agree,Agree
65fb580ab7fbb2d518ee8eaa,Once a week,Rarely,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree
5ccc60abe787e000167f8143,Once a week,Rarely,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
65e00891e4c0c8cad9c1583a,0-2 hours a day,Never,Agree,Click to write Choice 8,Agree,Agree,Agree,Agree
67e711daa771e0a8ad8c36f6,Once a week,Once a week,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
5b646a727c39ee00010a18b0,Once a week,Rarely,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
6832419ec81a26698b331047,0-2 hours a day,Once a month,Strongly Agree,Click to write Choice 8,Agree,Somewhat Agree,Strongly Agree,Agree
5d07fc124e753800168ccafe,2-4 hours a day,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
668f8d7343028ae0faa7a907,2-4 hours a day,Everyday,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
613929236e3092c6bad219ab,0-2 hours a day,Everyday,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
6789a3633d3d26346e189cc0,More than 6 hours a day,Once a week,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
64bdfd7695f5559fff6d6817,Once a month,Rarely,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
67758b914f06b14a31669644,Once a week,Rarely,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree
663a7af013938e6bbfb065d5,0-2 hours a day,Rarely,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
659f6995496dc58d821a8cfe,Once a month,Rarely,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree
666b68ba62cb93ed734157c1,0-2 hours a day,Once a month,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral
66fdd6ecd96e23c98cf47a4a,Once a week,Once a month,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
663a4e1d7e5525f5851d04c5,Once a week,Never,Agree,Agree,Agree,Agree,Agree,Agree
67745cfb4893225ef8d4bc4a,Once a week,Once a week,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral
67e70a61f963fecfc78db7ab,Never,Never,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Agree
67ef0f3de25a0d80c262ee97,2-4 hours a day,Everyday,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree
66d6376eb15526056851d558,0-2 hours a day,Everyday,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree
616964223dcbf0aa539dbae2,More than 6 hours a day,Once a month,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
66850d6815e2f00ae6f89a38,0-2 hours a day,Once a week,Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,Somewhat Agree
603ee4c2bd61ee1a08fd6a8a,Once a week,Once a week,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
667335f0570884e306616b2a,Once a week,Never,Somewhat Agree,Agree,Agree,Neutral,Neutral,Neutral
67659224c577c7e97b074f43,0-2 hours a day,Rarely,Agree,Agree,Agree,Agree,Agree,Agree
677fb35eafd357a07e351a9f,0-2 hours a day,Rarely,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree
65612a45629022b7c905ef6c,Once a week,Never,Neutral,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree
6562421abbbe0dc4b89ad4ff,2-4 hours a day,Once a week,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
5e03f8517f08edece67a3137,Once a week,Once a month,Somewhat Agree,Agree,Agree,Neutral,Agree,Somewhat Agree
5e70636370147a63fecbdea3,0-2 hours a day,Once a week,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
671cd612f039f8a9b5e55cca,More than 6 hours a day,Once a week,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
679a7b94aea987a325617cf1,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
651865050634b0ca55fc0d0d,0-2 hours a day,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5b421b9ac2e3810001763252,Once a week,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
610c5b0a0f713891f0d5af7f,Once a week,Never,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree
67e17102592c90e6799dae33,Once a week,Once a week,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree
67cf114d88ac6082ae5c17bd,Once a week,Never,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral
5980128635fbf100017d0861,0-2 hours a day,Once a week,Agree,Somewhat Agree,Agree,Agree,Agree,Agree
67486ef5b88595ed8d20fe7c,2-4 hours a day,Everyday,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
560379c9e372c00011bd4a90,2-4 hours a day,Once a week,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral
671a5785170a0f6380c51f28,0-2 hours a day,Once a week,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree
5d20189bb34728001a230962,0-2 hours a day,Everyday,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral
677fea44f0780e29406c0f6a,Never,Never,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
672adb2909ca72744f212a7d,0-2 hours a day,Rarely,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
67da33c4bf8b1833da2d333d,2-4 hours a day,Never,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
6604610e7a4c3d8b8aa2309f,0-2 hours a day,Once a month,Agree,Agree,Agree,Agree,Agree,Agree
640415971520c41606ca4389,Once a week,Never,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
677dd8f9b2cb71d4c20618e3,2-4 hours a day,Everyday,Strongly Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree
667276ecddde99f604ca82af,0-2 hours a day,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree
67f014dfdf283eede8de265d,0-2 hours a day,Once a week,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
611572b4abe6a1bfe26001a3,Once a week,Once a month,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree
5e70bd5480f43a0009625d4c,2-4 hours a day,Everyday,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
67d44b2ab82c80a7ce9ec9c7,4-6 hours a day,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
601fd27860b197531ca7bdcc,0-2 hours a day,Never,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree
673378009f99d14c232c1f2b,Once a week,Once a week,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
67d29a840debd6b228515177,Once a week,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
5e7ad79b4a5c600c89af2462,Once a month,Never,Agree,Disagree,Agree,Disagree,Agree,Neutral
60455b1578f6f36a3e8ea81c,Once a week,Once a month,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree
5d8b66f5d189bd001a378273,Once a week,Once a week,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
67cedbbf4645675edee20cff,Once a month,Rarely,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral
6753746b1f8827e2bd586bf0,Once a month,Never,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Neutral
67cf28a2280e7e75fbbacbff,2-4 hours a day,Everyday,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
663fc7f72fe5d2acae3176f2,4-6 hours a day,Once a week,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
59baf1a2178f1b0001828a26,0-2 hours a day,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree
5ca73ac06fa13f00189cbe17,2-4 hours a day,Never,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
67e95b4ce056cb97ac8a5c21,4-6 hours a day,Everyday,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree
5d453e8723a5bb0001492546,0-2 hours a day,Rarely,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree
67e0870d582edce0a2764d1f,0-2 hours a day,Everyday,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree
672ceecd4b982fd2123fa32f,Once a week,Never,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral
672f246d1d67d71960402ef8,2-4 hours a day,Rarely,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
6716a2900d9e3d912bc2f6c2,2-4 hours a day,Rarely,Somewhat Agree,Neutral,Neutral,Agree,Agree,Strongly Agree
5c4f5967aac8be0001716a65,0-2 hours a day,Rarely,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
637545d6428d85daeedc3df5,Once a month,Rarely,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
602fcd044ad77ad42ee9a829,0-2 hours a day,Once a week,Agree,Neutral,Agree,Agree,Agree,Somewhat Agree
647869e6f69318bacc341d53,0-2 hours a day,Never,Agree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral
67529d0aecb73bfe140d521f,4-6 hours a day,Everyday,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
67667c5a2dde32ea7b0b66c7,Once a week,Rarely,Agree,Agree,Agree,Agree,Agree,Agree
67914a71e31261f2ae882759,0-2 hours a day,Never,Agree,Agree,Agree,Agree,Agree,Agree
66cb2e0bd2169db778550269,2-4 hours a day,Once a week,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree
5d8cef3c28e183001a335ab0,Never,Never,Disagree,Disagree,Neutral,Disagree,Somewhat Disagree,Disagree
67c0c81d7a68441d6be8e944,0-2 hours a day,Once a week,Strongly Agree,Agree,Agree,Agree,Agree,Agree
5bbb5e3f118c0600013c3202,0-2 hours a day,Everyday,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
6692dd53ec527d60a87c1c82,0-2 hours a day,Rarely,Agree,Somewhat Agree,Agree,Agree,Agree,Agree
6023f94d1951e70ae21770ec,0-2 hours a day,Once a week,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral
