participant_id,condition,imageid,headline,before_AI_Real_Fake,confidence_rating_before_AI,with_AI_Real_Fake,confidence_rating_with_AI,final rating submitted,ground_truth_with_AI,after_AI_seen_before,after_AI_ground_truth,after_AI_Real_Fake,confidence_rating_after_AI,phase,week
578901354a84da00014c41cf,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,36,FAKE,75,75.0,fake,No,fake,Fake,75,Phase1,0
578901354a84da00014c41cf,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,38,FAKE,68,68.0,fake,No,fake,Fake,66,Phase1,0
578901354a84da00014c41cf,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,87,REAL,55,55.0,real,No,real,Fake,72,Phase1,0
578901354a84da00014c41cf,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,82,FAKE,74,74.0,real,No,real,Real,96,Phase1,0
5884593bd920ed0001fdccb4,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,65,FAKE,51,51.0,fake,No,fake,Fake,16,Phase1,0
5884593bd920ed0001fdccb4,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,40,FAKE,60,60.0,fake,No,fake,Fake,39,Phase1,0
5884593bd920ed0001fdccb4,2,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,89,REAL,76,76.0,real,No,real,Real,39,Phase1,0
5884593bd920ed0001fdccb4,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,55,REAL,60,60.0,real,No,real,Real,23,Phase1,0
5980128635fbf100017d0861,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,54,FAKE,55,55.0,real,No,real,Fake,50,Phase1,0
5980128635fbf100017d0861,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,53,REAL,55,55.0,real,No,real,Real,47,Phase1,0
5980128635fbf100017d0861,2,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,49,FAKE,57,57.0,fake,No,fake,Fake,91,Phase1,0
5980128635fbf100017d0861,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,77,FAKE,84,84.0,fake,No,fake,Fake,52,Phase1,0
5997043dbbe84800017964a7,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,60,FAKE,100,100.0,fake,No,fake,Fake,100,Phase1,0
5997043dbbe84800017964a7,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,100.0,fake,No,fake,Fake,100,Phase1,0
5997043dbbe84800017964a7,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,100,FAKE,100,100.0,real,No,real,Fake,70,Phase1,0
5997043dbbe84800017964a7,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,49,REAL,100,100.0,real,No,real,Real,60,Phase1,0
59baf1a2178f1b0001828a26,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,62,FAKE,81,81.0,real,No,real,Fake,38,Phase1,0
59baf1a2178f1b0001828a26,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,39,FAKE,83,83.0,real,No,real,Real,52,Phase1,0
59baf1a2178f1b0001828a26,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,82,FAKE,93,93.0,fake,No,fake,Fake,89,Phase1,0
59baf1a2178f1b0001828a26,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,40,FAKE,77,77.0,fake,No,fake,Fake,94,Phase1,0
5a8f13595292b80001235e09,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,65,REAL,72,72.0,fake,No,fake,Fake,50,Phase1,0
5a8f13595292b80001235e09,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,70,REAL,77,77.0,real,No,real,Real,52,Phase1,0
5a8f13595292b80001235e09,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,66,REAL,67,67.0,real,No,real,Real,76,Phase1,0
5a8f13595292b80001235e09,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,33,FAKE,64,64.0,fake,No,fake,Fake,91,Phase1,0
5af3c4e197a14300017d3f49,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,85,FAKE,100,100.0,fake,No,fake,Fake,80,Phase1,0
5af3c4e197a14300017d3f49,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,80,REAL,100,100.0,real,No,fake,Fake,79,Phase1,0
5af3c4e197a14300017d3f49,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,86,REAL,100,100.0,real,No,real,Real,75,Phase1,0
5af3c4e197a14300017d3f49,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,90,REAL,100,100.0,real,No,real,Real,80,Phase1,0
5b421b9ac2e3810001763252,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,78,FAKE,94,94.0,fake,No,fake,Real,71,Phase1,0
5b421b9ac2e3810001763252,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,77,FAKE,86,86.0,fake,No,fake,Fake,89,Phase1,0
5b421b9ac2e3810001763252,2,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,68,REAL,82,82.0,real,No,real,Fake,72,Phase1,0
5b421b9ac2e3810001763252,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,68,FAKE,82,82.0,real,No,real,Real,72,Phase1,0
5b646a727c39ee00010a18b0,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,29,REAL,77,77.0,real,No,real,Fake,33,Phase1,0
5b646a727c39ee00010a18b0,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,65,FAKE,97,97.0,fake,No,real,Fake,57,Phase1,0
5b646a727c39ee00010a18b0,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,77,FAKE,96,96.0,fake,No,fake,Fake,73,Phase1,0
5b646a727c39ee00010a18b0,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,93,FAKE,99,99.0,fake,No,fake,Fake,100,Phase1,0
5bbb5e3f118c0600013c3202,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,71,REAL,90,90.0,real,No,real,Real,62,Phase1,0
5bbb5e3f118c0600013c3202,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,78,REAL,73,73.0,real,No,real,Real,81,Phase1,0
5bbb5e3f118c0600013c3202,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,40,FAKE,100,100.0,fake,No,fake,Fake,86,Phase1,0
5bbb5e3f118c0600013c3202,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,51,FAKE,90,90.0,fake,No,fake,Fake,92,Phase1,0
5bc9206a66d04800015cf314,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,51,REAL,62,62.0,real,No,real,Real,59,Phase1,0
5bc9206a66d04800015cf314,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,64,FAKE,83,83.0,real,No,real,Real,71,Phase1,0
5bc9206a66d04800015cf314,2,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,89,FAKE,94,94.0,fake,No,fake,Fake,53,Phase1,0
5bc9206a66d04800015cf314,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,51,FAKE,61,61.0,fake,No,fake,Fake,50,Phase1,0
5be8dab5d153f500019ab320,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,76,REAL,75,75.0,real,No,real,Real,93,Phase1,0
5be8dab5d153f500019ab320,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,100,REAL,99,99.0,real,No,real,Real,93,Phase1,0
5be8dab5d153f500019ab320,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,60,FAKE,100,100.0,fake,No,fake,Fake,95,Phase1,0
5be8dab5d153f500019ab320,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,100.0,fake,No,fake,Fake,100,Phase1,0
5bead56b5324b10001c2551c,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,60,FAKE,100,100.0,fake,No,fake,Fake,82,Phase1,0
5bead56b5324b10001c2551c,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,50,REAL,76,76.0,real,No,real,Fake,71,Phase1,0
5bead56b5324b10001c2551c,2,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,REAL,60,REAL,90,90.0,real,No,real,Fake,100,Phase1,0
5bead56b5324b10001c2551c,2,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,60,FAKE,100,100.0,fake,No,fake,Real,70,Phase1,0
5c4f5967aac8be0001716a65,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,73,FAKE,100,100.0,fake,No,fake,Fake,42,Phase1,0
5c4f5967aac8be0001716a65,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,44,REAL,86,86.0,real,No,real,Real,62,Phase1,0
5c4f5967aac8be0001716a65,1,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,79,REAL,100,100.0,real,No,real,Real,53,Phase1,0
5c4f5967aac8be0001716a65,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,87,FAKE,100,100.0,fake,No,fake,Fake,60,Phase1,0
5c5198da659655000168955d,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",REAL,57,FAKE,71,71.0,fake,No,fake,Fake,90,Phase1,0
5c5198da659655000168955d,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,75,REAL,87,87.0,real,No,real,Real,88,Phase1,0
5c5198da659655000168955d,2,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",REAL,91,REAL,100,100.0,real,No,real,Fake,69,Phase1,0
5c5198da659655000168955d,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",REAL,85,FAKE,100,100.0,fake,No,fake,Fake,70,Phase1,0
5c9bfbfa325c3d001ad360a8,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,67,REAL,76,76.0,real,No,real,Fake,9,Phase1,0
5c9bfbfa325c3d001ad360a8,2,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,58,FAKE,90,90.0,fake,No,fake,Fake,50,Phase1,0
5c9bfbfa325c3d001ad360a8,2,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",FAKE,52,REAL,56,56.0,real,No,real,Real,29,Phase1,0
5c9bfbfa325c3d001ad360a8,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,51,FAKE,96,96.0,fake,No,fake,Real,31,Phase1,0
5ca73ac06fa13f00189cbe17,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,49,FAKE,87,87.0,fake,No,fake,Fake,72,Phase1,0
5ca73ac06fa13f00189cbe17,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,89,FAKE,100,100.0,fake,No,fake,Fake,82,Phase1,0
5ca73ac06fa13f00189cbe17,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,90,FAKE,90,90.0,real,No,real,Real,72,Phase1,0
5ca73ac06fa13f00189cbe17,2,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,REAL,89,REAL,59,59.0,real,No,real,Real,86,Phase1,0
5caccbc4976d010014b9cd9d,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,10,FAKE,99,99.0,fake,No,real,Real,90,Phase1,0
5caccbc4976d010014b9cd9d,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",REAL,50,FAKE,100,100.0,fake,No,fake,Fake,90,Phase1,0
5caccbc4976d010014b9cd9d,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,15,FAKE,75,75.0,fake,No,fake,Real,30,Phase1,0
5caccbc4976d010014b9cd9d,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,80,REAL,100,100.0,real,No,real,Fake,80,Phase1,0
5ccc60abe787e000167f8143,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,72,FAKE,50,50.0,fake,Yes,fake,Real,60,Phase1,0
5ccc60abe787e000167f8143,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,76,FAKE,100,100.0,fake,No,fake,Fake,77,Phase1,0
5ccc60abe787e000167f8143,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,82,REAL,64,64.0,real,No,real,Real,46,Phase1,0
5ccc60abe787e000167f8143,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,80,FAKE,30,30.0,real,No,real,Real,50,Phase1,0
5cd08e2ff59e0a0013563602,2,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,88,FAKE,100,100.0,fake,No,fake,Fake,100,Phase1,0
5cd08e2ff59e0a0013563602,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,50,REAL,60,60.0,real,No,real,Fake,100,Phase1,0
5cd08e2ff59e0a0013563602,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,75,REAL,100,100.0,real,No,real,Fake,100,Phase1,0
5cd08e2ff59e0a0013563602,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,70,FAKE,100,100.0,fake,No,fake,Fake,100,Phase1,0
5d01b9d4c9281200151c7c6b,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,85,REAL,78,78.0,real,No,real,Real,93,Phase1,0
5d01b9d4c9281200151c7c6b,2,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,50,FAKE,88,88.0,fake,No,fake,Fake,67,Phase1,0
5d01b9d4c9281200151c7c6b,2,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,100.0,fake,No,fake,Fake,95,Phase1,0
5d01b9d4c9281200151c7c6b,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,81,REAL,100,100.0,real,No,real,Real,75,Phase1,0
5d07fc124e753800168ccafe,1,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,42,REAL,62,62.0,real,No,real,Fake,86,Phase1,0
5d07fc124e753800168ccafe,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,100,FAKE,100,100.0,fake,No,fake,Fake,95,Phase1,0
5d07fc124e753800168ccafe,1,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,83,FAKE,94,94.0,fake,No,fake,Fake,97,Phase1,0
5d07fc124e753800168ccafe,1,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,REAL,72,REAL,95,95.0,real,No,real,Fake,99,Phase1,0
5d0d16d991270800010b7dd7,2,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,FAKE,88,FAKE,91,91.0,real,No,real,Real,68,Phase1,0
5d0d16d991270800010b7dd7,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,59,REAL,95,95.0,real,No,real,Fake,87,Phase1,0
5d0d16d991270800010b7dd7,2,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,88,REAL,86,86.0,real,No,fake,Fake,94,Phase1,0
5d0d16d991270800010b7dd7,2,4,Scott Brown incites violence during his campaign in Boston on Monday.,FAKE,80,FAKE,98,98.0,fake,No,fake,Fake,96,Phase1,0
5d20189bb34728001a230962,1,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,14,REAL,19,19.0,fake,No,fake,Fake,50,Phase1,0
5d20189bb34728001a230962,1,8,"The Atlanta school board voted unanimously on Monday to rename a public school in honor of Hank Aaron, the baseball slugger who endured hate mail and death threats during his Hall of Fame career.",REAL,54,REAL,53,53.0,real,No,real,Real,42,Phase1,0
5d20189bb34728001a230962,1,4,Scott Brown incites violence during his campaign in Boston on Monday.,REAL,85,REAL,51,51.0,fake,No,fake,Fake,85,Phase1,0
5d20189bb34728001a230962,1,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",FAKE,64,FAKE,56,56.0,real,No,real,Real,35,Phase1,0
5d453e8723a5bb0001492546,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,51,FAKE,51,51.0,real,No,real,Fake,65,Phase1,0
5d453e8723a5bb0001492546,1,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,60,FAKE,65,65.0,real,No,real,Fake,60,Phase1,0
5d453e8723a5bb0001492546,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,75,FAKE,85,85.0,fake,No,fake,Fake,99,Phase1,0
5d453e8723a5bb0001492546,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,80,FAKE,95,95.0,fake,No,fake,Fake,97,Phase1,0
5d849ee0a954540019f513dd,2,4,Scott Brown incites violence during his campaign in Boston on Monday.,REAL,59,FAKE,84,84.0,fake,No,fake,Real,52,Phase1,0
5d849ee0a954540019f513dd,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",REAL,87,REAL,92,92.0,fake,No,fake,Fake,82,Phase1,0
5d849ee0a954540019f513dd,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,78,FAKE,100,100.0,real,No,real,Real,52,Phase1,0
5d849ee0a954540019f513dd,2,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",FAKE,100,FAKE,100,100.0,real,No,real,Real,76,Phase1,0
5d8b66f5d189bd001a378273,2,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",FAKE,75,FAKE,72,72.0,fake,No,fake,Fake,100,Phase1,0
5d8b66f5d189bd001a378273,2,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",REAL,47,REAL,100,100.0,real,No,real,Real,95,Phase1,0
5d8b66f5d189bd001a378273,2,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,REAL,60,REAL,100,100.0,real,No,real,Real,88,Phase1,0
5d8b66f5d189bd001a378273,2,5,"Mikerlyne Dorvil, accused of causing the earthquake in Haiti, rests on a bus leaving Port-au-Prince for an undisclosed location.",FAKE,1,FAKE,100,100.0,fake,No,fake,Real,82,Phase1,0
5d8cef3c28e183001a335ab0,1,7,A crowd gathered on Tuesday in Minneapolis after the guilty verdict of Derek Chauvin.,FAKE,38,REAL,58,58.0,real,No,real,Real,60,Phase1,0
5d8cef3c28e183001a335ab0,1,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,REAL,51,REAL,71,71.0,real,No,real,Real,80,Phase1,0
5d8cef3c28e183001a335ab0,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",FAKE,27,FAKE,66,66.0,fake,No,fake,Real,24,Phase1,0
5d8cef3c28e183001a335ab0,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,8,FAKE,90,90.0,fake,No,fake,Fake,71,Phase1,0
5deb341d35575a2547b1f85a,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",FAKE,44,FAKE,70,70.0,fake,No,fake,Fake,26,Phase1,0
5deb341d35575a2547b1f85a,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",REAL,58,REAL,74,74.0,real,No,real,Fake,32,Phase1,0
5deb341d35575a2547b1f85a,1,9,"Sheriff Ed Gonzalez of Harris County, Texas, spoke with an inmate at the Harris County Joint Processing Center in 2019. President Biden plans to nominate Mr. Gonzalez to head Immigration and Customs Enforcement.",FAKE,45,REAL,68,68.0,real,No,real,Real,41,Phase1,0
5deb341d35575a2547b1f85a,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",FAKE,89,FAKE,91,91.0,fake,No,fake,Fake,39,Phase1,0
