just_the_facts,gave_away_ground_truth,conversation_id,participant_id,condition,imageid,headline,phase,week,asked_broad_questions,asked_guiding_questions,probed_deeper_over_multiple_messages,changed_focus_every_question,ask_for_source_checking,cross_verification_prompting,image_forensics_questions,contextual_consistency_checks,counterfactual_generation,ask_for_alternative_explanations,logic_plausibility_checks,scale_scope_reflection,spot_emotional_triggers,bias_awareness_reflection,framing_analysis,recall_prior_knowledge,fact_comparison,historical_analogies,devils_advocate_roleplay,evidence_ranking,step_by_step_reasoning,confidence_calibration,uncertainty_tolerance,reflect_on_process,ground_truth,initial_rating,final_rating,unassisted_rating,unassisted_ground_truth,congruent_belief,accuracy_before,accuracy_with,accuracy_unassisted,gave_away_answer_beginning,gave_away_answer_end,gave_away_answer_never
1,1,66abf0c472f051b5e40cfbfd_6,66abf0c472f051b5e40cfbfd,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,Real,Real,REAL,Real,real,Congruent,True,True,True,False,True,False
1,0,66abf0c472f051b5e40cfbfd_12,66abf0c472f051b5e40cfbfd,1,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,Real,Fake,REAL,Fake,real,Incongruent,False,True,False,True,False,False
1,0,676304145bbe20d1fd5d653c_2,676304145bbe20d1fd5d653c,1,2,"Mexico's most wanted drug trafficker, Teodoro Garcia Simental, is promoted to a federal police officer in Mexico City on Tuesday.",1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,Fake,Real,REAL,Fake,fake,Incongruent,False,False,True,True,False,False
1,0,676304145bbe20d1fd5d653c_3,676304145bbe20d1fd5d653c,1,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Fake,Real,REAL,Real,fake,Incongruent,False,False,False,True,False,False
1,0,676304145bbe20d1fd5d653c_6,676304145bbe20d1fd5d653c,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,real,Congruent,True,True,True,True,False,False
1,0,676304145bbe20d1fd5d653c_12,676304145bbe20d1fd5d653c,1,12,People kept away from each other to avoid spreading Covid-19 in May 2020 at Domino Park in Brooklyn.,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,Real,Fake,FAKE,Real,real,Incongruent,False,False,True,True,False,False
0,2,67659224c577c7e97b074f43_0,67659224c577c7e97b074f43,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
0,2,67659224c577c7e97b074f43_1,67659224c577c7e97b074f43,1,1,"An immigrant viciously attacks medical personnel after being wounded in clashes with residents of Rosarno, in the southern region of Calabria.",1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,False,True
0,2,67659224c577c7e97b074f43_6,67659224c577c7e97b074f43,1,6,"Pictures of King Abdullah II of Jordan at a frame shop in Amman, the capital, on Sunday.",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Real,Fake,REAL,Real,real,Incongruent,False,True,True,False,False,True
1,1,67659224c577c7e97b074f43_10,67659224c577c7e97b074f43,1,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,Real,Real,REAL,Real,real,Congruent,True,True,True,False,True,False
0,1,6792f9facbb387400c5b6119_0,6792f9facbb387400c5b6119,1,0,"Senator Christopher J. Dodd, with his wife and daughter, announces his divorce and resignation from the Senate on Wednesday.",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,fake,Congruent,True,True,True,False,True,False
1,0,6792f9facbb387400c5b6119_3,6792f9facbb387400c5b6119,1,3,"Afghan security forces collaborate with militants in an attack in Kabul, Monday, leading to the death of seven militants.",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Fake,Real,FAKE,Fake,fake,Incongruent,False,True,True,True,False,False
0,2,6792f9facbb387400c5b6119_10,6792f9facbb387400c5b6119,1,10,Mayor Bill de Blasio of New York announced on Friday that all eligible residents could now get vaccinated for Covid-19 at any city-run site without an appointment.,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Real,Fake,FAKE,Real,real,Incongruent,False,False,True,False,False,True
1,0,6792f9facbb387400c5b6119_11,6792f9facbb387400c5b6119,1,11,"Marcela Bonilla administering a vaccine this week to a resident of Vancouver���s Downtown Eastside, a neighborhood marked by poverty, homelessness and drug use.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Real,Real,REAL,Fake,real,Congruent,True,True,False,True,False,False
1,0,676304145bbe20d1fd5d653c_0,676304145bbe20d1fd5d653c,Persuasive,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,2,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,676304145bbe20d1fd5d653c_7,676304145bbe20d1fd5d653c,Persuasive,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,1,676304145bbe20d1fd5d653c_3,676304145bbe20d1fd5d653c,Persuasive,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,Real,Congruent,True,True,False,False,True,False
1,2,676304145bbe20d1fd5d653c_4,676304145bbe20d1fd5d653c,Persuasive,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,Real,Fake,FAKE,Fake,Real,Incongruent,False,False,False,False,False,True
1,0,6792f9facbb387400c5b6119_7,6792f9facbb387400c5b6119,Persuasive,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Fake,REAL,Fake,Fake,Incongruent,False,True,True,True,False,False
1,0,6792f9facbb387400c5b6119_2,6792f9facbb387400c5b6119,Persuasive,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,2,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,Fake,Fake,FAKE,Fake,Real,Congruent,True,True,False,True,False,False
1,2,6792f9facbb387400c5b6119_1,6792f9facbb387400c5b6119,Persuasive,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,False,False,True
1,0,6792f9facbb387400c5b6119_4,6792f9facbb387400c5b6119,Persuasive,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,Real,Fake,FAKE,Fake,Real,Incongruent,False,False,False,True,False,False
1,0,65c18c789a79785086046517_0,65c18c789a79785086046517,Persuasive,0,Lebanese Civil Defense officers celebrate the crash of the Ethiopian Airlines plane near Beirut airport on Monday.,2,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,65c18c789a79785086046517_4,65c18c789a79785086046517,Persuasive,4,"Voting on Sunday in the village of Besh-Kungey, Kyrgyzstan. The former Soviet republic has a history of political instability.",2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,65c18c789a79785086046517_3,65c18c789a79785086046517,Persuasive,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,2,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,65c18c789a79785086046517_6,65c18c789a79785086046517,Persuasive,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,2,5e916cb9e502b1498e8fc059_1,5e916cb9e502b1498e8fc059,Persuasive,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Fake,Real,REAL,Fake,Fake,Incongruent,False,False,True,False,False,True
1,0,5e916cb9e502b1498e8fc059_6,5e916cb9e502b1498e8fc059,Persuasive,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,5e916cb9e502b1498e8fc059_7,5e916cb9e502b1498e8fc059,Persuasive,7,Wreckage recovered from T.W.A. Flight 800 was assembled inside a hangar on Long Island in 1997.,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Real,Real,REAL,Fake,Real,Congruent,True,True,False,True,False,False
1,0,5e916cb9e502b1498e8fc059_3,5e916cb9e502b1498e8fc059,Persuasive,3,Stecy Antoine and Reina Boaz exploit a vulnerable Haitian woman at a legal clinic in New York on Thursday.,2,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,67659224c577c7e97b074f43_5,67659224c577c7e97b074f43,Persuasive,5,"Aleksei A. Navalny, left, in a Moscow courtroom on Saturday.",2,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Real,Fake,REAL,Fake,Fake,Incongruent,False,True,True,True,False,False
1,0,67659224c577c7e97b074f43_2,67659224c577c7e97b074f43,Persuasive,2,Supporters of President Mahinda Rajapaksa of Sri Lanka staged violent protests in Colombo after election officials declared him defeated in the elections.,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,67659224c577c7e97b074f43_1,67659224c577c7e97b074f43,Persuasive,1,"The World Economic Forum in Davos, Switzerland, is a gathering of the world's wealthiest to discuss further exploitation of global financial systems.",2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,Fake,Fake,FAKE,Real,Real,Congruent,True,True,True,True,False,False
1,0,67659224c577c7e97b074f43_6,67659224c577c7e97b074f43,Persuasive,6,"Shaun Donovan, center, with then-President Barack Obama in 2014. Mr. Donovan also worked for former Mayor Michael R. Bloomberg, running New York Citys housing department.",2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,2,6023f94d1951e70ae21770ec_2,6023f94d1951e70ae21770ec,Persuasive,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Fake,Fake,FAKE,Real,Fake,Congruent,True,True,False,False,False,True
1,0,6023f94d1951e70ae21770ec_6,6023f94d1951e70ae21770ec,Persuasive,6,"From Minneapolis city surveillance video, Minneapolis police are seen attempting to take George Floyd into custody on May 25, 2020.",2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,Fake,Congruent,True,True,False,True,False,False
0,2,6023f94d1951e70ae21770ec_3,6023f94d1951e70ae21770ec,Persuasive,3,Ethnic Tibetan delegates are arrested in front of the Great Hall of the People in Beijing on Wednesday.,2,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,Fake,Real,REAL,Real,Real,Incongruent,False,False,True,False,False,True
1,0,6023f94d1951e70ae21770ec_5,6023f94d1951e70ae21770ec,Persuasive,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,66abf0c472f051b5e40cfbfd_7,66abf0c472f051b5e40cfbfd,Persuasive,7,"The police faced off with protesters during a violent crackdown in Yangon, Myanmar, on Sunday.",2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,Real,Fake,REAL,Fake,Real,Incongruent,False,True,False,True,False,False
1,0,66abf0c472f051b5e40cfbfd_1,66abf0c472f051b5e40cfbfd,Persuasive,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Fake,Real,FAKE,Fake,Real,Incongruent,False,True,False,True,False,False
1,0,66abf0c472f051b5e40cfbfd_5,66abf0c472f051b5e40cfbfd,Persuasive,5,"Protesters gathered in downtown Louisville, Ky., on Saturday to commemorate anniversary of the killing of Breonna Taylor in a botched raid by Louisville police officers.",2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Real,Fake,REAL,Fake,Fake,Incongruent,False,True,True,True,False,False
1,1,66abf0c472f051b5e40cfbfd_3,66abf0c472f051b5e40cfbfd,Persuasive,3,Ethnic Tibetan delegates are arrested in front of the Great Hall of the People in Beijing on Wednesday.,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,Fake,Fake,REAL,Fake,Fake,Congruent,True,False,True,False,True,False
0,2,5e35373e1ddb124e6c306747_2,5e35373e1ddb124e6c306747,Persuasive,2,"A woman rejoices over the destruction caused by the tsunami in Pelluhue, Chile, on Tuesday.",2,2,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,False,False,True
0,0,5e35373e1ddb124e6c306747_1,5e35373e1ddb124e6c306747,Persuasive,1,"A 2007 production of Flight to Freedom: The Story of Margaret Garner, accused of inciting racial violence, at City Center in New York.",2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Real,FAKE,Real,Real,Incongruent,False,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_4,5e35373e1ddb124e6c306747,Persuasive,4,"Investigators at the scene of the ambush in Coatepec Harinas, Mexico, on Thursday.",2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,5e35373e1ddb124e6c306747_6,5e35373e1ddb124e6c306747,Persuasive,6,"From Minneapolis city surveillance video, Minneapolis police are seen attempting to take George Floyd into custody on May 25, 2020.",2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,0,6023f94d1951e70ae21770ec_3,6023f94d1951e70ae21770ec,Persuasive,3,"President Mahmoud Ahmadinejad, center, incites violence and unrest at a rally in Tehran on Thursday.",3,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Fake,Real,FAKE,Real,Real,Incongruent,False,True,True,True,False,False
1,0,6023f94d1951e70ae21770ec_6,6023f94d1951e70ae21770ec,Persuasive,6,"More than 4,100 migrant children and families were packed on Tuesday into a Texas border facility designed for 250 people.",3,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Real,Real,REAL,Fake,Fake,Congruent,True,True,True,True,False,False
1,2,6023f94d1951e70ae21770ec_2,6023f94d1951e70ae21770ec,Persuasive,2,Bangkok residents wave flags in celebration of a new government on Wednesday.,3,4,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,Fake,Fake,REAL,Real,Fake,Congruent,True,False,False,False,False,True
1,0,6023f94d1951e70ae21770ec_7,6023f94d1951e70ae21770ec,Persuasive,7,"Protesters using slingshots during a protest in Yangon, Myanmar, last month.",3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Real,Real,REAL,Real,Real,Congruent,True,True,True,True,False,False
1,0,66abf0c472f051b5e40cfbfd_4,66abf0c472f051b5e40cfbfd,Persuasive,4,"Recaptured inmates are led by the police outside the Croix-des-Bouquets Civil Prison after an attempted breakout, in Port-au-Prince, Haiti, on Thursday.",3,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,Real,Fake,REAL,Fake,Real,Incongruent,False,True,False,True,False,False
0,0,66abf0c472f051b5e40cfbfd_1,66abf0c472f051b5e40cfbfd,Persuasive,1,"The Russian men's biathlon relay team is disqualified for doping at the Olympic Games last month, adding to Russia's shame after dismal performances by its athletes.",3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,Fake,Real,FAKE,Fake,Real,Incongruent,False,True,False,True,False,False
1,0,66abf0c472f051b5e40cfbfd_7,66abf0c472f051b5e40cfbfd,Persuasive,7,"Protesters using slingshots during a protest in Yangon, Myanmar, last month.",3,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,Real,Real,REAL,Real,Fake,Congruent,True,True,False,True,False,False
1,0,66abf0c472f051b5e40cfbfd_0,66abf0c472f051b5e40cfbfd,Persuasive,0,Gov. David A. Paterson incites a riot at a town hall meeting in Brooklyn on Monday.,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Fake,Real,FAKE,Fake,Fake,Incongruent,False,True,True,True,False,False
0,1,676304145bbe20d1fd5d653c_3,676304145bbe20d1fd5d653c,Persuasive,3,"President Mahmoud Ahmadinejad, center, incites violence and unrest at a rally in Tehran on Thursday.",3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,Fake,Real,REAL,Real,Fake,Incongruent,False,False,False,False,True,False
1,0,676304145bbe20d1fd5d653c_0,676304145bbe20d1fd5d653c,Persuasive,0,Gov. David A. Paterson incites a riot at a town hall meeting in Brooklyn on Monday.,3,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Fake,Fake,FAKE,Fake,Fake,Congruent,True,True,True,True,False,False
